,SP500,logSP500
6/21/65,85.05,-0.001478321
6/22/65,85.21,0.000816247
6/23/65,84.67,-0.002761006
6/24/65,83.56,-0.005731128
6/25/65,83.06,-0.002606505
6/28/65,81.6,-0.007701768
6/29/65,82.41,0.004289755
6/30/65,84.12,0.00891935
7/1/65,84.48,0.001854641
7/2/65,85.16,0.003481748
7/5/65,85.16,0
7/6/65,84.99,-0.000867824
7/7/65,84.67,-0.001638269
7/8/65,85.39,0.003677454
7/9/65,85.71,0.001624482
7/12/65,85.69,-0.000101352
7/13/65,85.59,-0.000507116
7/14/65,85.87,0.001418437
7/15/65,85.72,-0.000759301
7/16/65,85.69,-0.00015202
7/19/65,85.63,-0.000304199
7/20/65,84.55,-0.005512332
7/21/65,84.07,-0.002472565
7/22/65,83.85,-0.00113798
7/23/65,84.07,0.00113798
7/26/65,84.05,-0.00010333
7/27/65,83.87,-0.000931075
7/28/65,84.03,0.000827721
7/29/65,84.68,0.003346486
7/30/65,85.25,0.002913538
8/2/65,85.42,0.000865179
8/3/65,85.46,0.000203321
8/4/65,85.79,0.001673779
8/5/65,85.79,0
8/6/65,86.07,0.001415135
8/9/65,85.86,-0.001060919
8/10/65,85.87,5.05788E-05
8/11/65,86.13,0.001312984
8/12/65,86.38,0.001258752
8/13/65,86.77,0.001956398
8/16/65,86.87,0.000500224
8/17/65,87.04,0.000849061
8/18/65,86.99,-0.000249552
8/19/65,86.79,-0.000999642
8/20/65,86.69,-0.000500685
8/23/65,86.56,-0.000651755
8/24/65,86.71,0.000751938
8/25/65,86.81,0.00050057
8/26/65,87.14,0.001647799
8/27/65,87.2,0.000298929
8/30/65,87.21,4.98016E-05
8/31/65,87.17,-0.000199241
9/1/65,87.17,0
9/2/65,87.65,0.002384874
9/3/65,88.06,0.002026761
9/6/65,88.06,0
9/7/65,88.36,0.001477026
9/8/65,88.66,0.00147202
9/9/65,88.89,0.001125179
9/10/65,89.12,0.001122272
9/13/65,89.38,0.001265172
9/14/65,89.03,-0.001703977
9/15/65,89.52,0.0023837
9/16/65,90.02,0.002418935
9/17/65,90.05,0.000144709
9/20/65,90.08,0.00014466
9/21/65,89.81,-0.001303681
9/22/65,90.22,0.001978126
9/23/65,89.86,-0.001736409
9/24/65,90.02,0.000772594
9/27/65,90.65,0.0030288
9/28/65,90.43,-0.001055278
9/29/65,90.02,-0.001973522
9/30/65,89.96,-0.000289562
10/1/65,89.9,-0.000289755
10/4/65,90.08,0.000868686
10/5/65,90.63,0.002643602
10/6/65,90.54,-0.00043149
10/7/65,90.47,-0.0003359
10/8/65,90.85,0.001820341
10/11/65,91.37,0.002478693
10/12/65,91.35,-9.50732E-05
10/13/65,91.34,-4.75444E-05
10/14/65,91.19,-0.000713792
10/15/65,91.38,0.000903938
10/18/65,91.68,0.001423451
10/19/65,91.8,0.000568077
10/20/65,91.78,-9.46278E-05
10/21/65,91.94,0.000756446
10/22/65,91.98,0.000188906
10/25/65,91.67,-0.001466174
10/26/65,92.2,0.00250369
10/27/65,92.51,0.00145776
10/28/65,92.21,-0.001410659
10/29/65,92.42,0.000987942
11/1/65,92.23,-0.000893756
11/2/65,92.23,0
11/3/65,92.31,0.000376542
11/4/65,92.46,0.000705138
11/5/65,92.37,-0.000422945
11/8/65,92.23,-0.000658735
11/9/65,91.93,-0.001414949
11/10/65,91.83,-0.000472676
11/11/65,92.11,0.001322198
11/12/65,92.55,0.002069641
11/15/65,92.63,0.000375241
11/16/65,92.41,-0.001032694
11/17/65,92.6,0.000892016
11/18/65,92.22,-0.001785869
11/19/65,92.24,9.41764E-05
11/22/65,91.64,-0.002834214
11/23/65,91.78,0.000662973
11/24/65,91.94,0.000756446
11/25/65,91.94,0
11/26/65,92.03,0.000424923
11/29/65,91.8,-0.001086741
11/30/65,91.61,-0.000899798
12/1/65,91.5,-0.000521789
12/2/65,91.21,-0.001378638
12/3/65,91.27,0.000285595
12/6/65,90.59,-0.003247791
12/7/65,91.39,0.003818418
12/8/65,91.28,-0.000523046
12/9/65,91.56,0.001330153
12/10/65,91.8,0.001136897
12/13/65,91.83,0.000141903
12/14/65,91.88,0.000236402
12/15/65,92.02,0.000661242
12/16/65,92.12,0.0004717
12/17/65,92.08,-0.000188619
